"","LYLTY_CARD_NBR","V1"
"315",8334,"135,134"
"316",8339,"150"
"317",8344,"175,110,150"
"318",8347,"380,150,110,134"
"319",8359,"330"
"320",8372,"175,210,175"
"321",8374,"380"
"322",9010,"210"
"323",9027,"175,134"
"324",9033,"175"
"325",9046,"170,135"
"326",9064,"134,165"
"327",9067,"175,165,150"
"328",9070,"150,175"
"329",9127,"380"
"330",9161,"175"
"331",9166,"175"
"332",9175,"165,134"
"333",9180,"134"
"334",9191,"175"
"335",9200,"165,150"
"336",9201,"200,165,90"
"337",9216,"180,170"
"338",9221,"160,190"
"339",9225,"134"
"340",9286,"330"
"341",9308,"175,90"
"342",9321,"150,150"
"343",9331,"175"
"344",9364,"175"
"345",9372,"175"
"346",9373,"175"
"347",9380,"175"
"348",9386,"165,175"
"349",9387,"170"
"350",9403,"134"
"351",9412,"110"
"352",9423,"134"
"353",9429,"330,175"
"354",9439,"160,170,270"
"355",9469,"380"
"356",9479,"380"
"357",9481,"175"
"358",9483,"165,134"
"359",10024,"175"
"360",10046,"165,175,110"
"361",10048,"110,170"
"362",10057,"165,220,210"
"363",10086,"150,150,330"
"364",10165,"200,330,150,270,380,200"
"365",10166,"380,170"
"366",10167,"170,175,380"
"367",10228,"110,134"
"368",10247,"180"
"369",12001,"175,170,170"
"370",12004,"134,150"
"371",12012,"134"
"372",12013,"175,175"
"373",12024,"134"
"374",12026,"110,250"
"375",12028,"134"
"376",12051,"150,380,175"
"377",12055,"175"
"378",12057,"270,270"
"379",12059,"250,175"
"380",12060,"270"
"381",12066,"330,110"
"382",12068,"110"
"383",12069,"175"
"384",12071,"150"
"385",12073,"330"
"386",12079,"175"
"387",12096,"170,175,175"
"388",12098,"110"
"389",12105,"110"
"390",12111,"135"
"391",12132,"165"
"392",12133,"175,170,330"
"393",12136,"134,210"
"394",12137,"110,134"
"395",12140,"110"
"396",12147,"165"
"397",12160,"175,134,175"
"398",12161,"150"
"399",12176,"175,175"
"400",12187,"150"
"401",12199,"175"
"402",12205,"170"
"403",12206,"175,175"
"404",12211,"175"
"405",12212,"170"
"406",12216,"110,175,165"
"407",12218,"175"
"408",12229,"175,270,170"
"409",12250,"134"
"410",12251,"110"
"411",12256,"150"
"412",12271,"110"
"413",12284,"110"
"414",12286,"175,270"
"415",12296,"134"
"416",12307,"170"
"417",12313,"210"
"418",12317,"175,150,134"
"419",12324,"175,150"
"420",12329,"170,175"
"421",12331,"110,110,170,210"
"422",12336,"150,150,134,330"
"423",12339,"210"
"424",12349,"150,134"
"425",12352,"110"
"426",12353,"165,110"
"427",12358,"110"
"428",12361,"175"
"429",12368,"165"
"430",13027,"175,150,175,150,165,150"
"431",13035,"165,380,175,165,175,380,175"
"432",13068,"175,150,134"
"433",13080,"90,330,175,175,330,170"
"434",13098,"150,150,165"
"435",13118,"175,110,134,110"
"436",13123,"150,110,175,170,110"
"437",13144,"175,135"
"438",13148,"200,150,175,135,175,134,175"
"439",13150,"330,175,150,170,170,175"
"440",13189,"134,210,330"
"441",13203,"170,150,175"
"442",13208,"175,165,175,150,150,110,150"
"443",13211,"150,150,175"
"444",14052,"270"
"445",14089,"270"
"446",14334,"380"
"447",14398,"175"
"448",14464,"170"
"449",15003,"134"
"450",15011,"150,190,175,134,175,165,170"
"451",15033,"150,175,220,134"
"452",15048,"175,134,270,165"
"453",15065,"175,170,165,190,110,175,330,330,175"
"454",15069,"90,134"
"455",15070,"165,175,270,150,134,175"
"456",15074,"150,170,165,175,150,110,175,175"
"457",15093,"175,160,150,134,200,150"
"458",15101,"134,180"
"459",15102,"175,150"
"460",15109,"220,165"
"461",15113,"270,150"
"462",15119,"175,175"
"463",15147,"170"
"464",15155,"175,190,150,200,175"
"465",15157,"150,175,110,170,134,190,160,175,210"
"466",15158,"150,210"
"467",15171,"134,270"
"468",15183,"110,110"
"469",15184,"150,175"
"470",15193,"150,175,70,134"
"471",15220,"134,150,170"
"472",15230,"175,165,110,175,175,134"
"473",16016,"270"
"474",16045,"70"
"475",16060,"170,270"
"476",16068,"150,150"
"477",16074,"170"
"478",16089,"330"
"479",16097,"150"
"480",16099,"175"
"481",16115,"150"
"482",16132,"110,150,175,150"
"483",16150,"175"
"484",16167,"165,270,175"
"485",16203,"110"
"486",16214,"175"
"487",16244,"210"
"488",16253,"180"
"489",16261,"175"
"490",16269,"134"
"491",16279,"150"
"492",16316,"165"
"493",16323,"175,175"
"494",16326,"175,150"
"495",16332,"175"
"496",16338,"190"
"497",16349,"330,220"
"498",16362,"180"
"499",16382,"250,270"
"500",16408,"150"
"501",16438,"175"
"502",16440,"175,175"
"503",16455,"175"
"504",16461,"170,110"
"505",16492,"270"
"506",16495,"150"
"507",16499,"175,110"
"508",17010,"110"
"509",17012,"150"
"510",17021,"380"
"511",17030,"250,150"
"512",17043,"380"
"513",17050,"250"
"514",17072,"150,170"
"515",17074,"110,175"
"516",17075,"134"
"517",17080,"150"
"518",17088,"175,175,330"
"519",17093,"134"
"520",17094,"270,175"
"521",17098,"150"
"522",17100,"134"
"523",17109,"175"
"524",17111,"380"
"525",17117,"175,175"
"526",17119,"150,134,175,150"
"527",17125,"170"
"528",17129,"175,175"
"529",17133,"150"
"530",17134,"170"
"531",17144,"110"
"532",17145,"175,134,134"
"533",17148,"110"
"534",17151,"110,150,134"
"535",17153,"330,134"
"536",17167,"175,175,150"
"537",17178,"165,250,210"
"538",17190,"330"
"539",17192,"175"
"540",17195,"165"
"541",17202,"134,175"
"542",17216,"150"
"543",17218,"165,134"
"544",17223,"250,175"
"545",17225,"110"
"546",17247,"380"
"547",17250,"110,330"
"548",17251,"110"
"549",17258,"110,175"
"550",17259,"150,270"
"551",17260,"165,150"
"552",17261,"210,134"
"553",17266,"330"
"554",17271,"110"
"555",17272,"134"
"556",17280,"134,210"
"557",17295,"330,134,175"
"558",17307,"110"
"559",17311,"165"
"560",17322,"175,175"
"561",17323,"330,134"
"562",17336,"175,150"
"563",17338,"380,380"
"564",17347,"150"
"565",17357,"330"
"566",17358,"134,165"
"567",17366,"175,110"
"568",17371,"135,170"
"569",17377,"210,175"
"570",18001,"150"
"571",18002,"110"
"572",18031,"175"
"573",18047,"150"
"574",18048,"250,175"
"575",18081,"330"
"576",18086,"150"
"577",18093,"70,330,380"
"578",18102,"90"
"579",18122,"175,150,165"
"580",18123,"330,175,134"
"581",18135,"170"
"582",18150,"150,150"
"583",18152,"175,330"
"584",18155,"175"
"585",18160,"134"
"586",18171,"330"
"587",18181,"150,200"
"588",18187,"170,180,110"
"589",18236,"150,175"
"590",18250,"134"
"591",18263,"170"
"592",18268,"220,175"
"593",18295,"110"
"594",18321,"170,200,330,110"
"595",18325,"170,150,175"
"596",18330,"70,175,134"
"597",18333,"210"
"598",18346,"134,134"
"599",18348,"330"
"600",18362,"110"
"601",18364,"110"
"602",18365,"150"
"603",18372,"175,380,220"
"604",18380,"175,175"
"605",18398,"175,134"
"606",18402,"110,134"
"607",18440,"90"
"608",18451,"134"
"609",18464,"110"
"610",18467,"150,165,134"
"611",18471,"175"
"612",18473,"175"
"613",18479,"175"
"614",19016,"330,330,170"
"615",19020,"170,134,134"
"616",19026,"380,150"
"617",19029,"175,134,134"
"618",19055,"175,175"
"619",19061,"170,175"
"620",19063,"150,134,150,170,134"
"621",19064,"165,165,110"
"622",19069,"175,110"
"623",19075,"175,134,270,110"
"624",19077,"150,134,134,134,175"
"625",19091,"330"
"626",19104,"110,134"
"627",19107,"250,380,110"
"628",19125,"175,380"
"629",19126,"150,110,170,175,134,150"
"630",19134,"380"
"631",19139,"150,170,150,175"
"632",19143,"150,175"
"633",19144,"210,270,110,110"
"634",19152,"175,110,175"
"635",19154,"150"
"636",19162,"165"
"637",19170,"175,330,175"
"638",19174,"270,175,110,110"
"639",19179,"110"
"640",19181,"175,150"
"641",19182,"175,110"
"642",19195,"330,270,134"
"643",19208,"134,150,210,270"
"644",19217,"134,175,150,110"
"645",19219,"134,134,175,134,270"
"646",19221,"134,270"
"647",19222,"330,150"
"648",19224,"175,150"
"649",19246,"175,270"
"650",19247,"175,110,175"
"651",19248,"175,175,134,150"
"652",19250,"330,330,110"
"653",19254,"380,175"
"654",19257,"150"
"655",19274,"134,150,175"
"656",19276,"134"
"657",19286,"110,110,170,175,134"
"658",19291,"270,150,110"
"659",19301,"110,170"
"660",19306,"134,175,175"
"661",19308,"170,110"
"662",19309,"134"
"663",19312,"134,150"
"664",19320,"175,150"
"665",19331,"165"
"666",19337,"110,175,134"
"667",20000,"110"
"668",20001,"110"
"669",20011,"170,90"
"670",20012,"180"
"671",20018,"330,175,175"
"672",20026,"330"
"673",20034,"175"
"674",20042,"110"
"675",20062,"134,175"
"676",20067,"170"
"677",20077,"210"
"678",20090,"170"
"679",20109,"150"
"680",20118,"380"
"681",20166,"135"
"682",20183,"170,170"
"683",20200,"175"
"684",20212,"170,330"
"685",20216,"175"
"686",20227,"165"
"687",20236,"110"
"688",20244,"110"
"689",20260,"175,175"
"690",20261,"134,110"
"691",20308,"330"
"692",20315,"170,175"
"693",20336,"175,150"
"694",20348,"150"
"695",20353,"150,134"
"696",20371,"175"
"697",20375,"165,150"
"698",20388,"150,134,175"
"699",20403,"150,150"
"700",20412,"175"
"701",20413,"170,165"
"702",20422,"170,150,190"
"703",20427,"134,160,330"
"704",20430,"175,110"
"705",20431,"110,160,150"
"706",20436,"170"
"707",20454,"170"
"708",20471,"165"
"709",20480,"110,150,150"
"710",20484,"175"
"711",20505,"110"
"712",21014,"175"
"713",21015,"170"
"714",21020,"170,175"
"715",21025,"150,134"
"716",21046,"170,175,150"
"717",21066,"110,165,150"
"718",21068,"175"
"719",21069,"175"
"720",21072,"170"
"721",21076,"110,210"
"722",21102,"134,134"
"723",21105,"134"
"724",21133,"110"
"725",21134,"110,165,270"
"726",21136,"150"
"727",21139,"150,270"
"728",21141,"270,175"
"729",21149,"170,150,270"
"730",21150,"110,210,150"
"731",21166,"175"
"732",21176,"175"
"733",21191,"165,170"
"734",21200,"150"
"735",21202,"330"
"736",21207,"134"
"737",21209,"175"
"738",21212,"270,134,150"
"739",21227,"270"
"740",21247,"110"
"741",21253,"330,134"
"742",21261,"150,110"
"743",21267,"175"
"744",21280,"134"
"745",21294,"110"
"746",21298,"170,175"
"747",21318,"150"
"748",21320,"134,175"
"749",21328,"170,175,175"
"750",21344,"170,210"
"751",21347,"170,135"
"752",21348,"150,330"
"753",21353,"330,210"
"754",21360,"134,330"
"755",21367,"150,134"
"756",21374,"110,175"
"757",21379,"150"
"758",22009,"165,134"
"759",22017,"175,170"
"760",22032,"134"
"761",22034,"70,165"
"762",22040,"134,150"
"763",22059,"175"
"764",22090,"330,175,150"
"765",22101,"175,175,134"
"766",22114,"380"
"767",22116,"270"
"768",22157,"110,170"
"769",22181,"150,150,134"
"770",22199,"270"
"771",22221,"170"
"772",22227,"110,175,175"
"773",22230,"175"
"774",22240,"110"
"775",22255,"150"
"776",22263,"330,150,170,175,165,175"
"777",22266,"175"
"778",22272,"110"
"779",22284,"134"
"780",22297,"90,165,150"
"781",22299,"110,160"
"782",22314,"270"
"783",22319,"170,110"
"784",22330,"180"
"785",22340,"210"
"786",22341,"150"
"787",22359,"134,175,175"
"788",22364,"330"
"789",22376,"270"
"790",22377,"90,175"
"791",22419,"190,380"
"792",22443,"150"
"793",22454,"150"
"794",22461,"134"
"795",22473,"330,70"
"796",23000,"175,180,175"
"797",23006,"134,134,175,110,175,380,175,110"
"798",23026,"330,175,90,165"
"799",23034,"175,190,175"
"800",23044,"134,175,175,165,150,110"
"801",23091,"170,110,175,175,134"
"802",23092,"170,150"
"803",23156,"110,134"
"804",23171,"134,170,175"
"805",23177,"175,210,330"
"806",23209,"175,150,270,170,175,110,150"
"807",24012,"175,150,175,330,165"
"808",24029,"150,380"
"809",24051,"150,175"
"810",24053,"180,175,175,175,170"
"811",24066,"175,134,150"
"812",24071,"175,210,330,175,175"
"813",24099,"150,150,175"
"814",24111,"175,380,134,175"
"815",24141,"175,150,170,380,170,134,175,330"
"816",24147,"210,134,170,175,330,134"
"817",24153,"170,270,330,165"
"818",24165,"170,175"
"819",24168,"150,134"
"820",24190,"165,110,170,175,175,175,175,160,190"
"821",24197,"175,175,150"
"822",24202,"170,175,175"
"823",24205,"175,175,175"
"824",24218,"175,175,150,165,175,125,165,180,125,134"
"825",25004,"110,110,150"
"826",25016,"110,175,330,330"
"827",25020,"165"
"828",25021,"110,134,110"
"829",25026,"110"
"830",25030,"150"
"831",25031,"150"
"832",25038,"134"
"833",25044,"150,210,134"
"834",25045,"175"
"835",25062,"150,150"
"836",25066,"110,110,150"
"837",25068,"175"
"838",25076,"135"
"839",25085,"134"
"840",25098,"330"
"841",25100,"175"
"842",25113,"110"
"843",25119,"175"
"844",25124,"134"
"845",25127,"175,175"
"846",25134,"110"
"847",25143,"150"
"848",25148,"175,175,175"
"849",25155,"380,150"
"850",25174,"175,210"
"851",25178,"270,175"
"852",25181,"134"
"853",25185,"175"
"854",25193,"175,175"
"855",25206,"110"
"856",25221,"150,330,250"
"857",25224,"150"
"858",25229,"134"
"859",25234,"134,175"
"860",25257,"150,175,150"
"861",25260,"170"
"862",25264,"175,380,134"
"863",25279,"270,170"
"864",25282,"175"
"865",25296,"175,134,170"
"866",25299,"175"
"867",25301,"175,330,110"
"868",25310,"170,134"
"869",25311,"330,150"
"870",25332,"165,170,150"
"871",25357,"330"
"872",25360,"134,175,175"
"873",25365,"175,175"
"874",25369,"165,150"
"875",25377,"270,170"
"876",26004,"165,150"
"877",26006,"134,270,175"
"878",26019,"150,270"
"879",26048,"330,165,175,330"
"880",26064,"170,110,110,175"
"881",26071,"250,134"
"882",26095,"170"
"883",26101,"270,175,134"
"884",26114,"170,110,175"
"885",26128,"330,270"
"886",26129,"175,150,110,175,110"
"887",26136,"150,175,150,110,175"
"888",26156,"175,135,175"
"889",26164,"330,150,175,110"
"890",26167,"110,110,330,134,175,110"
"891",26169,"175,330"
"892",26176,"134,170,134,165,134"
"893",26179,"175,134"
"894",26206,"270,150,150"
"895",26217,"150,210,134,170"
"896",26221,"134,110,170,330,134,175"
"897",26222,"380,175,165"
"898",26246,"165,330,150,170,134"
"899",26258,"175,134"
"900",26259,"175,110,150"
"901",26267,"175,330,110,150,134"
"902",26268,"165,134"
"903",26271,"110,175,170,250,165"
"904",26274,"134,165"
"905",26281,"110,134"
"906",26282,"134,175,170,380,380,134"
"907",26300,"150,134"
"908",26308,"150,150,175,330,175"
"909",26312,"175,110,175"
"910",26324,"150"
"911",26326,"110,175,150,110,150"
"912",26329,"175,330"
"913",26332,"150,175,134"
"914",26338,"110,170"
"915",26339,"135,150,175"
"916",26342,"210,250,175,110,150,380,110,150,330"
"917",26346,"175,175"
"918",26349,"175,134"
"919",26369,"134,165"
"920",26377,"110,110"
"921",27006,"175"
"922",27009,"250,380,380"
"923",27011,"175"
"924",27012,"150"
"925",27025,"250"
"926",27031,"150,110,175"
"927",27033,"134"
"928",27045,"175"
"929",27059,"135"
"930",27070,"250,170"
"931",27073,"150,175"
"932",27104,"134,150"
"933",27107,"175"
"934",27110,"110,175"
"935",27119,"175,110"
"936",27121,"175,330,165"
"937",27137,"165,134"
"938",27140,"110,150,175,170"
"939",27148,"210"
"940",27150,"170"
"941",27157,"110,110"
"942",27160,"135"
"943",27178,"175"
"944",27195,"150"
"945",27208,"165,380"
"946",27210,"175"
"947",27215,"110,175"
"948",27222,"175"
"949",27229,"110"
"950",27236,"110"
"951",27241,"110"
"952",27243,"175"
"953",27254,"210"
"954",27261,"380,170"
"955",27274,"150"
"956",27289,"175"
"957",27313,"110"
"958",27320,"150"
"959",27322,"175"
"960",27330,"330"
"961",27340,"175"
"962",27341,"110,210"
"963",27358,"270,330,175"
"964",27362,"165,175,150,134"
"965",27363,"175,135"
"966",27364,"170"
"967",27372,"134"
"968",27386,"134,134"
"969",27387,"175"
"970",27392,"110,170"
"971",28028,"175,165,134,150"
"972",28057,"175,150"
"973",28059,"110,165,380,134"
"974",28067,"170,175,150"
"975",28093,"330,330,134,160"
"976",28115,"175,165,175"
"977",28131,"170,270,330"
"978",28134,"175,175,125,135,175,175,165,110,150"
"979",28141,"150,330"
"980",28149,"175,175,150,135,270,180"
"981",28157,"165,380,150,110"
"982",28158,"165,150,170,175,150,110"
"983",28160,"175,175,150,170,175,170,175,165"
"984",28161,"175,150,150,250,165,165,175,150"
"985",28162,"175,110,220,175,270,90,175,165"
"986",28163,"134,160,150,175,175,175,170"
"987",28166,"170,134,330,175,90"
"988",28169,"110,175,165,175,134"
"989",28190,"150,330,175"
"990",28193,"170,150"
"991",28201,"134,150,175"
"992",28207,"165,150,220,175,135"
"993",28220,"165,150,200,110,175,330,150,135"
"994",29003,"210,175"
"995",29009,"175"
"996",29014,"210"
"997",29022,"380"
"998",29031,"330"
"999",29036,"150,110"
"1000",29039,"175,110"
"1001",29043,"134"
"1002",29068,"150"
"1003",29072,"270"
"1004",29076,"150,150"
"1005",29077,"175,175"
"1006",29086,"175"
"1007",29089,"170"
"1008",29098,"150,150,110"
"1009",29101,"165,210"
"1010",29113,"134"
"1011",29114,"165"
"1012",29115,"175"
"1013",29125,"150,330"
"1014",29129,"150"
"1015",29131,"330"
"1016",29132,"175"
"1017",29134,"175"
"1018",29137,"175,175"
"1019",29139,"135"
"1020",29140,"134"
"1021",29141,"134"
"1022",29144,"165"
"1023",29146,"134,110"
"1024",29157,"150"
"1025",29158,"175"
"1026",29160,"150,175"
"1027",29169,"175"
"1028",29174,"175"
"1029",29215,"270,175"
"1030",29223,"175"
"1031",29226,"165,210"
"1032",29229,"175,150,175"
"1033",29230,"150,135"
"1034",29237,"270,170,150"
"1035",29240,"175"
"1036",29241,"134,110"
"1037",29246,"175,270,134,175"
"1038",29250,"270"
"1039",29260,"175"
"1040",29264,"150"
"1041",29277,"175,150,150"
"1042",29286,"134"
"1043",29310,"110"
"1044",29313,"175"
"1045",29316,"175"
"1046",29329,"150"
"1047",29334,"165,175"
"1048",29340,"175,330"
"1049",29342,"110,170"
"1050",29350,"175"
"1051",29352,"175,134"
"1052",29355,"175"
"1053",29360,"150"
"1054",29363,"134"
"1055",29367,"175"
"1056",29368,"175"
"1057",29369,"134"
"1058",30023,"175,330,134,150,175"
"1059",30035,"175,175,150,170,270,175"
"1060",30074,"175,175,110,175"
"1061",30075,"175,175,170,210,330,380,175"
"1062",30172,"150,150,175,175,175,175,175"
"1063",30179,"134,150,380,175,175"
"1064",30190,"210,270,175"
"1065",30204,"175,380,175"
"1066",30229,"165,170,175,170,380"
"1067",30231,"150,175,330,175,175,150,165"
"1068",30232,"110,175,70,170"
"1069",32047,"134,150,175"
"1070",32056,"170,165,175,175,150,170,170,70"
"1071",32084,"175,165,135"
"1072",32101,"170,165,160,150,110,110"
"1073",32126,"165,90,380"
"1074",32131,"175"
"1075",32135,"125,330,175"
"1076",32143,"165,175"
"1077",32160,"175,150,110"
"1078",32206,"150,270"
"1079",32210,"175,175,134,165,220,170,165,220,175,220,165,150,165"
"1080",32228,"175,165,150,160,175"
"1081",32229,"250,200,150,175,175"
"1082",33020,"90,134,170,330,380,175"
"1083",33031,"165"
"1084",33034,"150,175,150"
"1085",33040,"270,170,110"
"1086",33053,"175,330,150,175,175,330,165"
"1087",33054,"165,165,150,330"
"1088",33065,"150,380,180,160,170,150,134"
"1089",33070,"150,170,175,175,210"
"1090",33071,"165,165,175"
"1091",33075,"175,150"
"1092",33082,"210,175,175,150,380,134,330,175"
"1093",33093,"134,150,150,330,134,150,175"
"1094",33100,"270,175"
"1095",33115,"165,125,190,170,110,150,150,150,175,330,175"
"1096",33116,"330,175,170,175,175,110"
"1097",33119,"170,134,125,70,175,330,165,175"
"1098",33122,"330,134,150"
"1099",33123,"110"
"1100",33128,"150,270,150,175,175,190,134"
"1101",33148,"250,175"
